record_type,name,organization,role_or_outlet_type,geographic_or_subject_scope,priority_tier,why_relevant,coverage_or_evidence,source_url,public_contact_route,verification_status,verified_on,notes
outlet,The Oaklandside,The Oaklandside,Nonprofit local newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Oakland-centered accountability newsroom in the heart of CA-12.,Published direct coverage of Simon's congressional campaign and subsequent work as Oakland's representative.,https://oaklandside.org/category/city-hall/page/27/,https://citysidejournalism.org/about/,Direct article/source located,2026-09-03,
outlet,Berkeleyside,Berkeleyside,Nonprofit local newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Berkeley-centered Cityside newsroom with local-government depth.,Published Cityside reporting that directly covered Rep. Simon speaking at an Oakland rally.,https://www.berkeleyside.org/2025/06/14/photos-the-no-kings-rally-in-oakland-draws-over-10000-attendees,https://citysidejournalism.org/about/,Direct article/source located,2026-09-03,Cityside content can also appear under The Oaklandside; deduplicate shared copies.
outlet,KALW,KALW,Public radio / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Bay Area public radio newsroom with direct candidate coverage.,Covered Lateefah Simon's 2024 election.,https://www.kalw.org/bay-area-news/2024-11-06/lateefah-simon-poised-to-succeed-barbara-lee-in-congress,,Direct article/source located,2026-09-03,
outlet,KPFA,KPFA,Community radio,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Berkeley-based public-affairs outlet with an East Bay civic audience.,No indexed item directly tied to present-day CA-12 or Lateefah Simon was located in this pass; retain only as a Berkeley public-affairs lead.,https://kpfa.org/,,Direct CA-12 coverage not confirmed - regional lead only,2026-09-03,Do not count as a confirmed reporting outlet unless a direct broadcast or article is found.
outlet,KCBS Radio,KCBS Radio,All-news radio,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,High-reach Bay Area breaking-news and politics desk.,No indexed item directly tied to present-day CA-12 or Lateefah Simon was located in this pass; retain only as a high-reach Bay Area radio lead.,https://www.audacy.com/kcbsradio,,Direct CA-12 coverage not confirmed - regional lead only,2026-09-03,Do not count as a confirmed reporting outlet unless a direct broadcast or article is found.
outlet,San Francisco Standard,San Francisco Standard,Digital local newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Bay Area politics and accountability newsroom with direct campaign coverage.,Covered Simon's congressional launch.,https://sfstandard.com/2023/02/28/bart-board-director-lateefah-simon-announces-bid-for-congress/,,Direct article/source located,2026-09-03,
outlet,Oakland Post / Post News Group,Oakland Post / Post News Group,Community newspaper network,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Longstanding Black press and Oakland civic outlet.,Covered the swearing-in of Oakland's new congresswoman.,https://www.postnewsgroup.com/vp-kamala-harris-swears-in-oaklands-new-congresswoman-lateefah-simon/,,Direct article/source located,2026-09-03,
outlet,Alameda Post,Alameda Post,Local nonprofit newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,City-level newsroom inside the district.,Published candidate questionnaire/opinion material connected to the race.,https://alamedapost.com/op-ed/daysog-responds-to-questionnaire/,,Direct article/source located,2026-09-03,
outlet,Bay City News,Bay City News,Regional newswire,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,Bay Area wire service whose reporting is republished across local outlets.,No indexed direct CA-12 item was located in this pass; retain as the Bay Area wire-service lead and verify downstream syndication before counting coverage.,https://baycitynews.com/,,Direct CA-12 coverage not confirmed - regional lead only,2026-09-03,Avoid counting republished wire copies as independent reports.
outlet,CalMatters,CalMatters,State politics nonprofit newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,1,California politics and accountability specialists with Sacramento access.,Published California political reporting directly quoting Simon and maintains statewide campaign-finance reporting relevant to public accountability.,https://calmatters.org/newsletters/whatmatters/2020/06/california-newsom-police-carotid-hold-george-floyd-protests/,https://calmatters.org/about/,Direct article/source located,2026-09-03,
outlet,Los Angeles Times,Los Angeles Times,Statewide newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Statewide investigations and California politics reach.,Direct reporting profiled Simon as the front-runner for Oakland's House seat and later covered her transition into Congress.,https://www.latimes.com/california/story/2024-10-06/how-san-francisco-became-a-launching-pad-for-the-most-powerful-women-in-politics,,Direct article/source located,2026-09-03,
outlet,Sacramento Bee,Sacramento Bee,State capital newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,California politics and election desk with public-records experience.,Published statewide congressional election results including CA-12.,https://media.sacbee.com/static/election2024/ca-congress-cal.html,,Direct article/source located,2026-09-03,
outlet,Capitol Weekly,Capitol Weekly,California politics publication,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Focused audience of state political professionals and insiders.,Covered Simon's launch for Lee's House seat.,https://capitolweekly.net/heir-apparent-lateefah-simon-launches-bid-for-barbara-lee-house-seat/,,Direct article/source located,2026-09-03,
outlet,SFGATE,SFGATE,Digital regional newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Large Bay Area audience and frequent East Bay political coverage.,Published a substantive profile of Simon's East Bay public service and BART role.,https://www.sfgate.com/visionsf/article/VisionSF-Spotlight-Lateefah-Simon-12495074.php,,Direct article/source located,2026-09-03,
outlet,SFist,SFist,Digital local news / blog,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Fast-moving Bay Area political and civic news site.,Covered Simon's primary lead.,https://sfist.com/2024/03/06/lateefah-simon-commands-huge-lead-in-primary-race-for-barbara-lees-house-of-representatives-seat/,,Direct article/source located,2026-09-03,
outlet,Bay Area Reporter,Bay Area Reporter,LGBTQ newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Community outlet with direct candidate and endorsement coverage.,Covered LPAC rescinding support for candidate Jennifer Tran.,https://www.ebar.com/story/151058/News/National/LPAC%20rescinds%20support%20for%20queer%20East%20Bay%20House%20candidate%20Tran,,Direct article/source located,2026-09-03,
outlet,E’ville Eye,E’ville Eye,Local news blog,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Emeryville-focused local outlet inside the district.,Published League of Women Voters candidate forum replays.,https://evilleeye.com/news-commentary/league-of-women-voters-candidate-forum-video-replays/,,Direct article/source located,2026-09-03,
outlet,Piedmont Exedra,Piedmont Exedra,Local newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Piedmont-focused outlet inside CA-12.,"Covered Barbara Lee's Senate announcement, creating the House opening.",https://piedmontexedra.com/2023/02/barbara-lee-announces-us-senate-bid,,Direct article/source located,2026-09-03,
outlet,San Leandro Times,San Leandro Times,Local newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Covers a major city partly within current CA-12.,Archived 2024 issue identified during district research.,https://0201.nccdn.net/4_2/000/000/081/4ce/january-25--2024.pdf,,Direct article/source located,2026-09-03,
outlet,Berkeley Daily Planet,Berkeley Daily Planet,Local newspaper / commentary site,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Berkeley civic and political audience.,Published a February 2024 issue containing race-related material.,https://www.berkeleydailyplanet.com/issue/2024-02-11/full_text,,Direct article/source located,2026-09-03,
outlet,The Daily Californian,The Daily Californian,Student newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,UC Berkeley newsroom with local and youth political reach.,Published a candidate project connected to the district.,https://dailycal-projects.netlify.app/2026-08-19-candidate/,,Direct article/source located,2026-09-03,
outlet,Oakland Voices,Oakland Voices,Community journalism outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Community-rooted Oakland coverage and contributor network.,Profiled new congresswoman Lateefah Simon.,https://oaklandvoices.us/2025/01/29/new-congresswoman-lateefah-simon/,,Direct article/source located,2026-09-03,
outlet,Patch,Patch,Hyperlocal news network,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Local audience and neighborhood distribution across East Bay communities.,Covered Simon and Tran competing for the seat.,https://patch.com/california/berkeley/democrats-lateefah-simon-dr-jennifer-tran-vying-congressional-seat-long-held-rep,,Direct article/source located,2026-09-03,
outlet,Axios San Francisco,Axios San Francisco,Local newsletter / digital newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Concise Bay Area political briefing read by civic decision-makers.,Covered Bay Area election outcomes.,https://www.axios.com/local/san-francisco/2024/11/07/elections-bay-area-liccardo-thao-price,,Direct article/source located,2026-09-03,
outlet,Associated Press,Associated Press,National newswire,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,High amplification potential for documented congressional accountability findings.,Published coverage of the race/open seat.,https://apnews.com/article/e577bac24ea84b8eb080977aaa18fc88,,Direct article/source located,2026-09-03,Newswire copies should be deduplicated.
outlet,The Washington Post,The Washington Post,National newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Congressional accountability and investigative reporting capacity.,Published CA-12 election-results page.,https://www.washingtonpost.com/elections/results/2024/11/05/california-house-district-12/,,Direct article/source located,2026-09-03,
outlet,The New York Times,The New York Times,National newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,National political and investigative reach.,"No indexed direct report on present-day CA-12 or Simon was located in this pass; retain for national investigative capacity, not as confirmed district coverage.",https://www.nytimes.com/,,Direct CA-12 coverage not confirmed - subject lead only,2026-09-03,Do not count as a confirmed reporting outlet unless a direct article is found.
outlet,NPR,NPR,National public radio / digital,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,National public-service newsroom with California member-station network.,Included California congressional results.,https://apps.npr.org/2024-election-results/california.html,,Direct article/source located,2026-09-03,
outlet,NBC News / NBC BLK,NBC News / NBC BLK,National television / digital,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,National politics and Black public-life audience.,Profile coverage was identified via a Yahoo-hosted NBC story.,https://www.yahoo.com/news/meet-woman-rep-barbara-lee-110000792.html,,Direct syndicated article located,2026-09-03,Verify original NBC canonical URL before outreach.
outlet,CBS News national,CBS News national,National television / digital,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,National Congress desk and investigative capacity.,Included Simon among new members of the 119th Congress.,https://www.cbsnews.com/amp/news/119-congress-new-members/,,Direct article/source located,2026-09-03,
outlet,The Hill,The Hill,Congressional trade publication,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Congress-focused readership and ethics reporting.,The Hill/DDHQ published a dedicated 2024 CA-12 forecast with candidates and campaign-finance figures.,https://elections2024.thehill.com/forecast/2024/house/california-12/,,Direct article/source located,2026-09-03,
outlet,Politico / E&E News,Politico / E&E News,Political and policy newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,"Congress, influence, and policy specialists.",E&E covered the California Democrat and Green New Deal.,https://www.eenews.net/articles/california-democrat-looks-to-advance-green-new-deal/,,Direct article/source located,2026-09-03,
outlet,Mother Jones,Mother Jones,Investigative magazine,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,National investigative outlet with Bay Area roots.,No indexed direct report on present-day CA-12 or Simon was located in this pass; retain for investigative subject fit and Bay Area roots.,https://www.motherjones.com/,,Direct CA-12 coverage not confirmed - subject lead only,2026-09-03,Do not count as a confirmed reporting outlet unless a direct article is found.
outlet,The Nation,The Nation,Political magazine,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Progressive national audience and congressional accountability interest.,Published multiple direct reports and interviews about Rep. Lateefah Simon's congressional activity.,https://www.thenation.com/article/politics/lateefah-simon-wfp-2025-response/,,Direct article/source located,2026-09-03,
outlet,Essence,Essence,Magazine / digital outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,National Black audience and public-leadership coverage.,Covered Simon as Barbara Lee's endorsed successor and later identified her as CA-12's representative.,https://www.essence.com/news/black-women-in-politics-congresswoman-barbara-lee-helped-break-the-mold/,,Direct article/source located,2026-09-03,
outlet,Fox News,Fox News,National television / digital,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,National amplification and partisan political coverage.,Covered PAC support and policy positions in the race.,https://www.foxnews.com/politics/progressive-caucus-pac-backs-candidate-who-signed-black-new-deal-demanding-reparations,,Direct article/source located,2026-09-03,
outlet,Washington Examiner,Washington Examiner,National political outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,National conservative political audience.,Covered Gavin Newsom's endorsement in the race.,https://www.washingtonexaminer.com/news/2441101/gavin-newsom-endorses-lateefah-simon-in-race-to-fill-barbara-lees-house-seat/,,Direct article/source located,2026-09-03,
outlet,UPI,UPI,National wire service,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,National syndication and breaking-news reach.,Covered Barbara Lee's Senate candidacy and resulting vacancy.,https://www.upi.com/Top_News/US/2023/02/21/california-rep-barbara-lee-senate-candidacy-replace-dianne-Fienstein/9521677000600/,,Direct article/source located,2026-09-03,
outlet,The Muslim News,The Muslim News,Community / international news outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Audience relevance to candidate identity and civil-rights issues.,Published a dedicated report on Simon winning California's 12th District and becoming the state's first Muslim congresswoman.,https://muslimnews.co.uk/newspaper/elections/lateefah-makes-history-as-californias-first-muslim-congresswoman-as-muslim-reps-thrive-despite-democratic-loss/,,Direct article/source located,2026-09-03,
outlet,Blavity News,Blavity News,Black digital media outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,National Black millennial audience and political coverage.,Published a dedicated report on Simon's work in Congress and earlier reporting on her East Bay public role.,https://blavity.com/ateefah-simon-slams-gop-colleague-mlk-quote,,Direct article/source located,2026-09-03,
outlet,Dawn,Dawn,International newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,International reach and diaspora audience.,Published a direct report on Simon winning California's 12th District.,https://www.dawn.com/news/1871212,,Direct article/source located,2026-09-03,
outlet,AboutIslam,AboutIslam,Community digital outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Community audience relevant to representative profile coverage.,Published a direct report identifying Simon as the newly elected representative for California's 12th District.,https://aboutislam.net/muslim-issues/n-america/muslim-representatives-make-historic-gains-in-congress/,,Direct article/source located,2026-09-03,
outlet,State Affairs,State Affairs,State politics publication,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Government and policy professional audience.,Published California political coverage discussing Simon as the East Bay member who moved from the BART board to Congress.,https://cms.stateaffairs.com/tag/california-legislature/page/2/,,Direct mention/source located,2026-09-03,
outlet,The Well News,The Well News,Digital news outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Political news and commentary distribution.,Published a dedicated CA-12 candidate profile of Simon and congressional staff directories tied to the district.,https://www.thewellnews.com/2024-elections/new-members-to-watch-in-2025/ca-12-lateefah-simon-d/,,Direct article/source located,2026-09-03,
outlet,National Hog Farmer,National Hog Farmer,Trade publication,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Potential downstream syndication/mention rather than core accountability target.,Published direct reports on Simon's congressional leadership opposing federal preemption of California Proposition 12.,https://www.nationalhogfarmer.com/farming-business-management/save-our-bacon-act-draws-more-congressional-opposition,,Direct article/source located,2026-09-03,
outlet,The Town Hall News,The Town Hall News,East Bay local news outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,San Leandro/East Bay civic coverage.,Published East Bay leaders' comments on the federal shutdown.,https://thetownhall.news/san-leandro/east-bay-leaders-sound-alarm-this-is-a-republican-shutdown-as-federal-crisis-enters-fourth-week/,,Direct article/source located,2026-09-03,
outlet,University of San Francisco News,University of San Francisco News,University news outlet,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Institutional profile coverage and Bay Area audience.,Published a story on Simon's election to Congress.,https://www.usfca.edu/news/Lateefah-Simon-elected-congress,,Direct article/source located,2026-09-03,
outlet,The Imprint,The Imprint,Child welfare / social policy newsroom,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Specialist accountability outlet relevant to Simon's public-service background.,Published a long-form candidate profile.,https://imprintnews.org/top-stories/congressional-candidate-wants-to-create-a-place-for-young-women-to-dream-to-fight-and-to-just-be/248299,,Direct article/source located,2026-09-03,
outlet,Lee Fang newsletter,Lee Fang newsletter,Independent investigative newsletter,Present-day California 12th Congressional District / East Bay unless otherwise noted,2,Independent Bay Area investigative reporting on money and influence.,Published analysis of California elites and the race.,https://www.leefang.com/p/californias-moneyed-elite-select,,Direct article/source located,2026-09-03,
outlet,El País,El País,International newspaper,Present-day California 12th Congressional District / East Bay unless otherwise noted,3,Spanish-language international reach.,Included California and CA-12 election results/context.,https://elpais.com/us/2024-11-06/resultado-de-las-elecciones-en-california-kamala-harris-gana-sin-sorpresas.html,,Direct article/source located,2026-09-03,
person,Ryan Gabrielson,San Francisco Chronicle,Investigative Editor,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",The Chronicle's current newsroom announcement says he leads investigations that challenge authority and expose corruption.,https://www.sfchronicle.com/about/newsroomnews/article/ryan-gabrielson-investigative-editor-chronicle-19978815.php,https://www.sfchronicle.com/newsroom_contacts/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Sophia Bollag,San Francisco Chronicle,"Politics Reporter, Sacramento",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Official author page identifies her as a Sacramento politics reporter covering California government and accountability.,https://www.sfchronicle.com/author/sophia-bollag/,https://www.sfchronicle.com/author/sophia-bollag/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Alexei Koseff,The Washington Post,Congress accountability and enterprise reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Official author page says he focuses on Congress accountability and enterprise stories and accepts confidential tips via Signal.,https://www.washingtonpost.com/people/alexei-koseff/,https://www.washingtonpost.com/people/alexei-koseff/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Joe Garofoli,San Francisco Chronicle,Senior Political Writer,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Current Chronicle author page identifies him as senior political writer covering national and state politics.,https://www.sfchronicle.com/author/joe-garofoli/,https://www.sfchronicle.com/newsroom_contacts/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Shira Stein,San Francisco Chronicle,Washington correspondent,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.","Official author page says she covers California's role in national politics, Congress, and federal policy.",https://www.sfchronicle.com/author/shira-stein/,https://www.sfchronicle.com/author/shira-stein/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Darwin BondGraham,The Oaklandside / Cityside,"News Editor, The Oaklandside",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Cityside's current newsroom directory lists BondGraham as The Oaklandside news editor.,https://citysidejournalism.org/about/,https://citysidejournalism.org/about/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Eli Wolfe,The Oaklandside / Cityside,City Hall reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Cityside's current newsroom directory lists Wolfe as The Oaklandside's City Hall reporter.,https://citysidejournalism.org/about/,https://citysidejournalism.org/about/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Tasneem Raja,Cityside / The Oaklandside,"Chief Strategy Officer, Cityside; Editor-in-Chief, The Oaklandside",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Cityside's current newsroom directory lists both leadership roles.,https://citysidejournalism.org/about/,https://citysidejournalism.org/about/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Esther Kaplan,The Oaklandside / Cityside,"Deputy Editor, The Oaklandside",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Cityside's current newsroom directory lists Kaplan as deputy editor; her public post describes investigative-collaboration work across Cityside.,https://citysidejournalism.org/about/,https://citysidejournalism.org/about/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Jakob Rodgers,Bay Area News Group / East Bay Times / The Mercury News,Senior breaking news reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Current public journalist profile lists East Bay Times and Mercury News breaking-news roles.,https://muckrack.com/jakob-rodgers,https://muckrack.com/jakob-rodgers,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Shomik Mukherjee,San Francisco Business Times,East Bay reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Current outlet bio says he covers business in Alameda and Contra Costa counties and previously covered Oakland for the East Bay Times.,https://www.bizjournals.com/sanfrancisco/bio/45446/Shomik%2BMukherjee,https://www.bizjournals.com/sanfrancisco/bio/45446/Shomik%2BMukherjee,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Nate Gartrell,East Bay Times / Bay Area News Group,State and federal courts reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",Current public journalist profile identifies him as the East Bay Times courts reporter; current East Bay Times project materials also list him as a reporter.,https://muckrack.com/nate-gartrell,https://www.bayareanewsgroup.com/submit-news-tip,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Scott Shafer,KQED,"Senior editor, Politics and Government; co-host, Political Breakdown",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.","KQED's current staff page lists his politics editing, reporting, hosting, and analysis responsibilities.",https://www.kqed.org/news/staff,https://www.kqed.org/news/staff,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Marisa Lagos,KQED,"California Politics and Government correspondent; co-host, Political Breakdown",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.","KQED's current staff page says she reports, analyzes, and investigates state, local, and national politics.",https://www.kqed.org/news/staff,https://www.kqed.org/news/staff,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Molly Solomon,KQED,"Senior Editor, California Politics and Government",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",KQED's current staff page identifies her as the senior editor leading its California politics and government desk.,https://www.kqed.org/news/staff,https://www.kqed.org/news/staff,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Annelise Finney,KQED,Politics reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",KQED's direct CA-12 election report carries Finney's byline and demonstrates district-specific reporting.,https://www.kqed.org/news/12012363/lateefah-simon-leads-race-to-succeed-barbara-lee-in-californias-12th-congressional-district,https://www.kqed.org/news/12012363/lateefah-simon-leads-race-to-succeed-barbara-lee-in-californias-12th-congressional-district,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Greg Lee,KTVU FOX 2,Anchor and Political Reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",KTVU's current profile identifies him as an anchor and political reporter and shows recent congressional accountability reporting.,https://www.ktvu.com/person/l/greg-lee,https://www.ktvu.com/person/l/greg-lee,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Amber Lee,KTVU FOX 2,Reporter,Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.",KTVU's direct interview with Simon is reported by Amber Lee and demonstrates district-specific coverage.,https://www.ktvu.com/news/east-bay-congresswoman-elect-lateefah-simon-how-she-will-work-republican-controlled-congress,https://www.ktvu.com/news/east-bay-congresswoman-elect-lateefah-simon-how-she-will-work-republican-controlled-congress,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
person,Stephanie Sierra,ABC7 Bay Area / KGO,"Investigative reporter, I-Team",Bay Area investigative and political reporting,1,"Local knowledge, source networks, and ability to verify East Bay records.","Official ABC7 profile says she investigates fraud, corruption, abuse of power, and taxpayer money and publishes a direct story-contact route.",https://abc7news.com/about/newsteam/stephanie-sierra/,https://abc7news.com/about/newsteam/stephanie-sierra/,Current role verified from public source,2026-09-03,Role/profile verified; interest in any specific allegation has not been inferred.
